CLK_NS,power_mw,dyn_mw,leak_mw,N,K,GF_WIDTH,wns_ns,freq_hz,freq_mhz,energy_pj_per_bit
4.0,3.3284778999999998,2.854087,0.4743909,86,82,8,1.083596,249999999.99999997,249.99999999999997,1.745421337804878
3.6,3.645619,3.171205,0.474414,86,82,8,0.659142,277777777.77777773,277.7777777777777,1.7205543329268291
3.2,4.0629597,3.588528,0.47443169999999996,86,82,8,0.280356,312499999.99999994,312.49999999999994,1.7044611424390246
3.0,4.3021994999999995,3.827768,0.4744315,86,82,8,0.183026,333333333.3333333,333.3333333333333,1.692023583841463
2.8,4.5731394000000005,4.098586,0.4745534,86,82,8,0.125081,357142857.14285713,357.1428571428571,1.6786767797560975
2.6,4.8918317,4.417282,0.47454969999999996,86,82,8,0.009453,384615384.6153846,384.6153846153846,1.667398731890244
2.5,5.065684900000001,4.591097,0.4745879,86,82,8,0.021017,400000000.0,400.0,1.6602473376524391
2.4,5.253998999999999,4.77924,0.47475900000000004,86,82,8,0.006357,416666666.6666667,416.6666666666667,1.6530874902439023
2.3,5.4841823,5.008698,0.4754843,86,82,8,0.0046,434782608.6956522,434.7826086956522,1.6536147239939023
2.2,5.7261681,5.250198,0.4759701,86,82,8,0.000206,454545454.5454545,454.5454545454545,1.6515106776219513
2.1,6.0078366,5.530362,0.4774746,86,82,8,0.002023,476190476.1904761,476.19047619047615,1.6539867225000002
2.05,6.1280284,5.650793,0.47723540000000003,86,82,8,0.004066,487804878.04878056,487.80487804878055,1.6469076324999996
2.025,6.2230752,5.745144,0.4779312,86,82,8,0.000322,493827160.49382716,493.82716049382714,1.6520557104878049
2.0,6.2905858,5.812517,0.4780688,86,82,8,0.000411,499999999.99999994,499.99999999999994,1.6493609109756096
1.975,6.2959697,5.818911,0.4770587,86,82,8,0.000152,506329113.92405057,506.32911392405055,1.6301378865015244
1.95,6.3702078,5.893073,0.47713479999999997,86,82,8,0.000169,512820512.8205128,512.8205128205128,1.6284814757012196
