tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps
ASAP7,1e-30,1e-30,86,1.0,0.8,0.0,0.0,3.204941860465116,0.0
ASAP7,1e-30,1.0002302850208248e-30,86,0.9767441860465116,0.8,3550.584297130435,0.003550584297130435,3.204941860465116,0.0011078467103971608
ASAP7,1e-30,5.551115123125783e-17,86,0.9767441860465116,0.8,3550.584297130435,0.003550584297130435,3.204941860465116,0.0011078467103971608
ASAP7,1e-30,1.0295480024069549e-12,86,0.9534883720930232,0.8,3550.584297130435,0.003550584297130435,3.054142441860464,0.0011625470536231958
ASAP7,1e-30,2.6496127247810367e-10,86,0.9302325581395348,0.8,3550.584297130435,0.003550584297130435,2.906976744186045,0.0012214009982128703
ASAP7,1e-30,7.852911949157715e-09,86,0.9069767441860463,0.8,3550.584297130435,0.003550584297130435,2.76344476744186,0.0012848399718215593
ASAP7,1e-30,7.832050323486327e-08,86,0.8837209302325582,0.8,3550.584297130435,0.003550584297130435,2.623546511627907,0.0013533529066070578
ASAP7,1e-30,4.1580200195312505e-07,86,0.8604651162790697,0.8,3550.584297130435,0.003550584297130435,2.487281976744186,0.0014274956881961955
ASAP7,1e-30,1.48773193359375e-06,86,0.8372093023255814,0.8,3550.584297130435,0.003550584297130435,2.3546511627906974,0.0015079024669294688
ASAP7,1e-30,4.0740966796875e-06,86,0.813953488372093,0.8,3550.584297130435,0.003550584297130435,2.2256540697674416,0.0015952992629719115
ASAP7,1e-30,9.2315673828125e-06,86,0.7906976744186046,0.8,3550.584297130435,0.003550584297130435,2.100290697674418,0.0016905204127513772
ASAP7,1e-30,1.8249511718750003e-05,86,0.7674418604651163,0.8,3550.584297130435,0.003550584297130435,1.9785610465116277,0.0017945285556846572
ASAP7,1e-30,3.2470703125e-05,86,0.7441860465116279,0.8,3550.584297130435,0.003550584297130435,1.8604651162790695,0.0019084390597076091
ASAP7,1e-30,5.334472656250001e-05,86,0.7209302325581395,0.8,3550.584297130435,0.003550584297130435,1.746002906976744,0.0020335500490536854
ASAP7,1e-30,8.215332031249999e-05,86,0.6976744186046512,0.8,3550.584297130435,0.003550584297130435,1.635174418604651,0.0021713795523784353
ASAP7,1e-30,0.0001201171875,86,0.6744186046511628,0.8,3550.584297130435,0.003550584297130435,1.5279796511627906,0.002323711768300347
ASAP7,1e-30,0.000168701171875,86,0.6511627906976745,0.8,3550.584297130435,0.003550584297130435,1.4244186046511629,0.0024926550983936113
ASAP7,1e-30,0.0002285156249999,86,0.627906976744186,0.8,3550.584297130435,0.003550584297130435,1.3244912790697672,0.0026807154967635007
ASAP7,1e-30,0.00030078125,86,0.6046511627906976,0.8,3550.584297130435,0.003550584297130435,1.2281976744186045,0.0028908899365985086
ASAP7,1e-30,0.00038623046875,86,0.5813953488372093,0.8,3550.584297130435,0.003550584297130435,1.1355377906976742,0.003126786555424947
ASAP7,1e-30,0.0004853515625,86,0.5581395348837209,0.8,3550.584297130435,0.003550584297130435,1.0465116279069766,0.003392780550591305
ASAP7,1e-30,0.000599609375,86,0.5348837209302325,0.8,3550.584297130435,0.003550584297130435,0.9611191860465115,0.0036942185201145404
ASAP7,1e-30,0.000728515625,86,0.5116279069767442,0.8,3550.584297130435,0.003550584297130435,0.879360465116279,0.004037689250290479
ASAP7,1e-30,0.00087109375,86,0.4883720930232558,0.8,3550.584297130435,0.003550584297130435,0.801235465116279,0.004431386841588643
ASAP7,1e-30,0.00103125,86,0.4651162790697674,0.8,3550.584297130435,0.003550584297130435,0.7267441860465113,0.004885603992851481
ASAP7,1e-15,1e-15,86,1.0,0.8,0.0,0.0,3.204941860465116,0.0
ASAP7,1e-15,1.0002302850208248e-15,86,0.9767441860465116,0.8,3550.584297130435,0.003550584297130435,3.204941860465116,0.0011078467103971608
ASAP7,1e-15,6.062909960746763e-10,86,0.9767441860465116,0.8,3550.584297130435,0.003550584297130435,3.204941860465116,0.0011078467103971608
ASAP7,1e-15,1.0299682617187501e-07,86,0.9534883720930232,0.8,3550.584297130435,0.003550584297130435,3.054142441860464,0.0011625470536231958
ASAP7,1e-15,1.4896392822265626e-06,86,0.9302325581395348,0.8,3550.584297130435,0.003550584297130435,2.906976744186045,0.0012214009982128703
ASAP7,1e-15,7.87353515625e-06,86,0.9069767441860463,0.8,3550.584297130435,0.003550584297130435,2.76344476744186,0.0012848399718215593
